2,-4
3,-7
4,5
5,-1
6,-3
7,0
8,10
9,-10
10,98
11,2801
12,-2902
13,0
14,0
15,2
16,8
17,-9
18,6
19,10
20,-15
21,-2
22,1
23,68
24,-69
25,6
26,-4
27,5
28,-4
29,3
30,6
31,-5
32,4
33,7
34,-18
35,8
36,-8
37,9
38,3
39,-8
40,-3
41,0
42,-1
43,2
44,-2
45,3
46,1
47,1
48,7
49,-12
50,452
51,-451
52,-1
53,242
54,2700
55,-2933
56,-2
57,-3
58,3
59,3
60,13
61,-23
62,54
63,2432
64,-2485
65,-1
66,0
67,2
68,0
69,0
70,2670
71,-2672
72,2
73,-2
74,5
75,5
76,0
77,-8
78,-1
79,-1
80,1462
81,986
82,-2439
83,-3
84,-4
85,-1
86,1
87,0
88,9
89,154
90,1618
91,-1774
92,-9
93,0
94,0
95,2
96,2460
97,-2459
98,-1
99,-2
